measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,3.1,Sexual assault,2,31-40,U,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,41-64,M,14,f,t,0.010234,
victims,2019,3.1,Sexual assault,2,41-64,F,109,f,t,0.079678,
victims,2019,3.1,Sexual assault,2,41-64,U,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,65+,M,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,65+,F,12,f,t,0.008772,
victims,2019,3.1,Sexual assault,2,65+,U,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,U,M,1,f,f,0.000731,
victims,2019,3.1,Sexual assault,2,U,F,3,f,f,0.002193,
victims,2019,3.1,Sexual assault,2,U,U,0,f,f,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,0-13,M,12,f,f,0.025641,
victims,2019,3.2,Sexual assault with penetration,2,0-13,F,31,f,f,0.066239,
victims,2019,3.2,Sexual assault with penetration,2,0-13,U,0,f,f,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,14-17,M,5,f,t,0.010684,
victims,2019,3.2,Sexual assault with penetration,2,14-17,F,108,f,t,0.230769,
victims,2019,3.2,Sexual assault with penetration,2,14-17,U,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,18-30,M,19,f,t,0.040598,
victims,2019,3.2,Sexual assault with penetration,2,18-30,F,182,f,t,0.388889,
victims,2019,3.2,Sexual assault with penetration,2,18-30,U,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,31-40,M,7,f,t,0.014957,
victims,2019,3.2,Sexual assault with penetration,2,31-40,F,57,f,t,0.121795,
victims,2019,3.2,Sexual assault with penetration,2,31-40,U,1,f,t,0.002137,
victims,2019,3.2,Sexual assault with penetration,2,41-64,M,1,f,t,0.002137,
victims,2019,3.2,Sexual assault with penetration,2,41-64,F,44,f,t,0.094017,
victims,2019,3.2,Sexual assault with penetration,2,41-64,U,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,65+,M,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,65+,F,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,65+,U,0,f,t,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,U,M,0,f,f,0.000000,
victims,2019,3.2,Sexual assault with penetration,2,U,F,1,f,f,0.002137,
victims,2019,3.2,Sexual assault with penetration,2,U,U,0,f,f,0.000000,
victims,2019,3.3,Corruption of minors,2,0-13,M,7,f,f,0.107692,
victims,2019,3.3,Corruption of minors,2,0-13,F,11,f,f,0.169231,
victims,2019,3.3,Corruption of minors,2,0-13,U,0,f,f,0.000000,
victims,2019,3.3,Corruption of minors,2,14-17,M,15,f,t,0.230769,
victims,2019,3.3,Corruption of minors,2,14-17,F,20,f,t,0.307692,
victims,2019,3.3,Corruption of minors,2,14-17,U,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,18-30,M,4,f,t,0.061538,
victims,2019,3.3,Corruption of minors,2,18-30,F,2,f,t,0.030769,
victims,2019,3.3,Corruption of minors,2,18-30,U,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,31-40,M,1,f,t,0.015385,
victims,2019,3.3,Corruption of minors,2,31-40,F,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,31-40,U,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,41-64,M,1,f,t,0.015385,
victims,2019,3.3,Corruption of minors,2,41-64,F,1,f,t,0.015385,
victims,2019,3.3,Corruption of minors,2,41-64,U,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,65+,M,1,f,t,0.015385,
victims,2019,3.3,Corruption of minors,2,65+,F,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,65+,U,0,f,t,0.000000,
victims,2019,3.3,Corruption of minors,2,U,M,0,f,f,0.000000,
victims,2019,3.3,Corruption of minors,2,U,F,2,f,f,0.030769,
victims,2019,3.3,Corruption of minors,2,U,U,0,f,f,0.000000,
victims,2019,3.4,Child pornography,2,0-13,M,5,f,f,0.200000,
victims,2019,3.4,Child pornography,2,0-13,F,7,f,f,0.280000,
victims,2019,3.4,Child pornography,2,0-13,U,0,f,f,0.000000,
victims,2019,3.4,Child pornography,2,14-17,M,5,f,t,0.200000,
victims,2019,3.4,Child pornography,2,14-17,F,1,f,t,0.040000,
victims,2019,3.4,Child pornography,2,14-17,U,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,18-30,M,1,f,t,0.040000,
victims,2019,3.4,Child pornography,2,18-30,F,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,18-30,U,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,31-40,M,1,f,t,0.040000,
victims,2019,3.4,Child pornography,2,31-40,F,0,f,t,0.000000,
