ine_code,year,crime_code,crime_count
28074,2022,INJURY,66
28074,2022,KIDNAPPING,0
28074,2022,SEXUAL,52
28074,2022,SEXUAL_PENETRATION,12
28074,2022,SEXUAL_OTHER,40
28074,2022,ROBBERY_VIOLENT,199
28074,2022,BURGLARY,308
28074,2022,BURGLARY_DWELLING,188
28074,2022,THEFT,3268
28074,2022,VEHICLE_THEFT,221
28074,2022,DRUG_TRAFFICKING,57
28074,2022,OTHER_CONVENTIONAL,3461
28074,2022,CYBERCRIME,1456
28074,2022,CYBER_FRAUD,1311
28074,2022,CYBER_OTHER,145
28074,2022,TOTAL,9088
28079,2022,CONVENTIONAL,208227
28079,2022,HOM_COMPLETED,27
28079,2022,HOM_ATTEMPTED,83
28079,2022,INJURY,1753
28079,2022,KIDNAPPING,5
28079,2022,SEXUAL,1443
28079,2022,SEXUAL_PENETRATION,218
28079,2022,SEXUAL_OTHER,1225
28079,2022,ROBBERY_VIOLENT,9118
28079,2022,BURGLARY,7066
28079,2022,BURGLARY_DWELLING,4836
28079,2022,THEFT,91604
28079,2022,VEHICLE_THEFT,4489
28079,2022,DRUG_TRAFFICKING,2208
28079,2022,OTHER_CONVENTIONAL,90431
28079,2022,CYBERCRIME,35174
28079,2022,CYBER_FRAUD,32268
28079,2022,CYBER_OTHER,2906
28079,2022,TOTAL,243401
28080,2022,CONVENTIONAL,4047
28080,2022,HOM_COMPLETED,0
28080,2022,HOM_ATTEMPTED,1
28080,2022,INJURY,47
28080,2022,KIDNAPPING,0
28080,2022,SEXUAL,31
28080,2022,SEXUAL_PENETRATION,0
28080,2022,SEXUAL_OTHER,31
28080,2022,ROBBERY_VIOLENT,52
28080,2022,BURGLARY,223
28080,2022,BURGLARY_DWELLING,146
28080,2022,THEFT,1464
28080,2022,VEHICLE_THEFT,148
28080,2022,DRUG_TRAFFICKING,7
28080,2022,OTHER_CONVENTIONAL,2074
28080,2022,CYBERCRIME,537
28080,2022,CYBER_FRAUD,481
28080,2022,CYBER_OTHER,56
28080,2022,TOTAL,4584
28084,2022,CONVENTIONAL,1127
28084,2022,HOM_COMPLETED,0
28084,2022,HOM_ATTEMPTED,0
28084,2022,INJURY,16
28084,2022,KIDNAPPING,0
28084,2022,SEXUAL,10
28084,2022,SEXUAL_PENETRATION,1
28084,2022,SEXUAL_OTHER,9
28084,2022,ROBBERY_VIOLENT,15
28084,2022,BURGLARY,45
28084,2022,BURGLARY_DWELLING,26
28084,2022,THEFT,200
28084,2022,VEHICLE_THEFT,29
28084,2022,DRUG_TRAFFICKING,4
28084,2022,OTHER_CONVENTIONAL,808
28084,2022,CYBERCRIME,239
28084,2022,CYBER_FRAUD,197
28084,2022,CYBER_OTHER,42
28084,2022,TOTAL,1366
28092,2022,CONVENTIONAL,6376
28092,2022,HOM_COMPLETED,2
28092,2022,HOM_ATTEMPTED,3
28092,2022,INJURY,49
28092,2022,KIDNAPPING,1
28092,2022,SEXUAL,64
28092,2022,SEXUAL_PENETRATION,18
28092,2022,SEXUAL_OTHER,46
28092,2022,ROBBERY_VIOLENT,256
28092,2022,BURGLARY,350
28092,2022,BURGLARY_DWELLING,265
28092,2022,THEFT,1739
28092,2022,VEHICLE_THEFT,190
28092,2022,DRUG_TRAFFICKING,46
28092,2022,OTHER_CONVENTIONAL,3676
28092,2022,CYBERCRIME,2052
28092,2022,CYBER_FRAUD,1851
28092,2022,CYBER_OTHER,201
28092,2022,TOTAL,8428
28096,2022,CONVENTIONAL,1165
28096,2022,HOM_COMPLETED,0
28096,2022,HOM_ATTEMPTED,2
28096,2022,INJURY,10
28096,2022,KIDNAPPING,0
28096,2022,SEXUAL,8
28096,2022,SEXUAL_PENETRATION,3
28096,2022,SEXUAL_OTHER,5
28096,2022,ROBBERY_VIOLENT,27
28096,2022,BURGLARY,82
28096,2022,BURGLARY_DWELLING,62
28096,2022,THEFT,240
28096,2022,VEHICLE_THEFT,40
28096,2022,DRUG_TRAFFICKING,14
28096,2022,OTHER_CONVENTIONAL,742
28096,2022,CYBERCRIME,334
28096,2022,CYBER_FRAUD,287
28096,2022,CYBER_OTHER,47
28096,2022,TOTAL,1499
28104,2022,CONVENTIONAL,761
28104,2022,HOM_COMPLETED,0
28104,2022,HOM_ATTEMPTED,0
28104,2022,INJURY,8
28104,2022,KIDNAPPING,0
28104,2022,SEXUAL,10
28104,2022,SEXUAL_PENETRATION,0
28104,2022,SEXUAL_OTHER,10
28104,2022,ROBBERY_VIOLENT,15
28104,2022,BURGLARY,46
28104,2022,BURGLARY_DWELLING,33
28104,2022,THEFT,177
28104,2022,VEHICLE_THEFT,24
28104,2022,DRUG_TRAFFICKING,3
28104,2022,OTHER_CONVENTIONAL,478
28104,2022,CYBERCRIME,199
28104,2022,CYBER_FRAUD,175
28104,2022,CYBER_OTHER,24
28104,2022,TOTAL,960
28106,2022,CONVENTIONAL,5630
28106,2022,HOM_COMPLETED,1
28106,2022,HOM_ATTEMPTED,2
28106,2022,INJURY,42
28106,2022,KIDNAPPING,1
28106,2022,SEXUAL,47
28106,2022,SEXUAL_PENETRATION,10
